id,nombre,unidad,stock_actual,salidas_5_meses,rotacion_pct,ultima_salida,categoria,ubicacion
287,"PIJA HEXAGONAL 1/2""",PIEZAS,1128.00,0,0.00,,TORNILLERIA,EXTRAS
524,RONDANA PARA REMACHE,PIEZAS,765.00,0,0.00,,Sin Categoría,SIN-UBICACION
526,OJILLOS,PIEZAS,660.00,0,0.00,,HERRAJES,MANUFACTURA
137,"PERRO 1/8""",PIEZAS,303.00,0,0.00,,ACCESORIOS DE CABLES,INSTALACIÓN
98,"COPLE 3/8""",PIEZAS,272.00,0,0.00,,TORNILLERIA,INSTALACIÓN
666,PLACA PARA ETIQUETAR,PIEZAS,215.00,0,0.00,,Sin Categoría,SIN-UBICACION
382,CUADRADO PARA CORTINA,PIEZAS,212.00,0,0.00,,3G,RENOMBRAR
414,"ARGOLLA ABATIBLE 1 1/2""",PIEZAS,170.00,0,0.00,,HERRAJES,VENTA
318,TAPÓN PALILLERIA,PIEZAS,137.00,0,0.00,,HERRAJES,MANUFACTURA
564,REMACHE BLANCO,PIEZAS,136.00,0,0.00,,Sin Categoría,SIN-UBICACION
311,TAPA CONTRAPESO,PIEZAS,123.00,0,0.00,,HERRAJES,MANUFACTURA
691,SOPORTE BISAGRA CHICA,PIEZAS,120.00,0,0.00,,Sin Categoría,SIN-UBICACION
554,PIOLA BLANCA 3 MM,METROS,113.00,0,0.00,,Sin Categoría,SIN-UBICACION
415,MEDIA ARGOLLA GRANDE,PIEZAS,107.00,0,0.00,,HERRAJES,MANUFACTURA
379,"SOLERA 7 CM X 1/16""",PIEZAS,102.00,0,0.00,,Sin Categoría,SIN-UBICACION
674,DESTORCEDOR METAL,PIEZAS,99.00,0,0.00,,CONEXIONES,INSTALACIÓN
846,PRIMER,LITROS,84.00,0,0.00,,ACABADOS,PINTURA
223,"TAPA 1 1/2""",PIEZAS,76.00,0,0.00,,PLACAS,HERRERIA
417,MEDIA ARGOLLA CH,PIEZAS,75.00,0,0.00,,HERRAJES,MANUFACTURA
529,"PIJA CABEZA PHILIPS 12 X 1 1/2""",PIEZAS,70.00,0,0.00,,Sin Categoría,REVISAR
693,SOPORTE MEDIO  MURO,PIEZAS,67.00,0,0.00,,Sin Categoría,SIN-UBICACION
136,"GRILLETE 3/16""",PIEZAS,57.00,0,0.00,,CONEXIONES,EXTRAS
565,CINTA DE VULCANIZADO,METROS,50.00,0,0.00,,CONSUMIBLES,MANUFACTURA
636,CONTRA PLACA PUNTA EXTRAGRANDE,PIEZAS,47.00,0,0.00,,Sin Categoría,REVISAR
563,REMACHE,PIEZAS,47.00,0,0.00,,Sin Categoría,SIN-UBICACION
533,"PIJA NEGRA 10 X 1 1/2""",PIEZAS,46.00,0,0.00,,Sin Categoría,REVISAR
419,DEDAL DE COSTURA,PIEZAS,42.00,0,0.00,,SIN CATEGORÍA,EXTRAS
